chromosome	coordinate	RE_density	HFC
DcoA	53350000	0.0317	non-HFC
DcoA	53450000	0.03283	non-HFC
DcoA	53550000	0.03395	non-HFC
DcoA	53650000	0.03151	non-HFC
DcoA	53750000	0.03424	non-HFC
DcoA	53850000	0.03556	non-HFC
DcoA	53950000	0.03876	non-HFC
DcoA	54050000	0.03301	non-HFC
DcoA	54150000	0.03297	non-HFC
DcoA	54250000	0.03278	non-HFC
DcoA	54350000	0.03627	non-HFC
DcoA	54450000	0.03474	non-HFC
DcoA	54550000	0.0332	non-HFC
DcoA	54650000	0.03353	non-HFC
DcoA	54750000	0.03368	non-HFC
DcoA	54850000	0.03167	non-HFC
DcoA	54950000	0.03599	non-HFC
DcoA	55050000	0.03415	non-HFC
DcoA	55150000	0.03363	non-HFC
DcoA	55250000	0.03405	non-HFC
DcoA	55350000	0.02926	non-HFC
DcoA	55450000	0.02992	non-HFC
DcoA	55550000	0.03308	non-HFC
DcoA	55650000	0.03097	non-HFC
DcoA	55750000	0.03505	non-HFC
DcoA	55850000	0.03167	non-HFC
DcoA	55950000	0.03006	non-HFC
DcoA	56050000	0.031653306613226455	non-HFC
DcoA	56150000	0.0295	non-HFC
DcoA	56250000	0.02894	non-HFC
DcoA	56350000	0.02934	non-HFC
DcoA	56450000	0.03297	non-HFC
DcoA	56550000	0.02996	HFC
DcoA	56650000	0.03223	HFC
DcoA	56750000	0.03202	HFC
DcoA	56850000	0.02988	HFC
DcoA	56950000	0.03117	HFC
DcoA	57050000	0.03028	HFC
DcoA	57150000	0.03102	HFC
DcoA	57250000	0.02957	HFC
DcoA	57350000	0.03271	HFC
DcoA	57450000	0.03441	HFC
DcoA	57550000	0.03066	HFC
DcoA	57650000	0.03335	HFC
DcoA	57750000	0.03243	HFC
DcoA	57850000	0.02908	HFC
DcoA	57950000	0.03183	HFC
DcoA	58050000	0.0315	HFC
DcoA	58150000	0.02831	HFC
DcoA	58250000	0.03031	HFC
DcoA	58350000	0.03005	HFC
DcoA	58450000	0.03284	HFC
DcoA	58550000	0.03021	HFC
DcoA	58650000	0.03446	HFC
DcoA	58750000	0.03737	HFC
DcoA	58850000	0.03628	HFC
DcoA	58950000	0.03271	HFC
DcoA	59050000	0.03503	HFC
DcoA	59150000	0.03195	HFC
DcoA	59250000	0.02868	HFC
DcoA	59350000	0.03184	HFC
DcoA	59450000	0.03148	HFC
DcoA	59550000	0.02539	non-HFC
DcoA	59650000	0.02663	non-HFC
DcoA	59750000	0.02939	non-HFC
DcoA	59850000	0.02775	non-HFC
DcoA	59950000	0.03362	non-HFC
DcoA	60050000	0.02755	non-HFC
DcoA	60150000	0.02595	non-HFC
DcoA	60250000	0.02682	non-HFC
DcoA	60350000	0.0287	non-HFC
DcoA	60450000	0.03008	non-HFC
DcoA	60550000	0.02846693386773547	non-HFC
DcoA	60650000	0.02668	non-HFC
DcoA	60750000	0.03059	non-HFC
DcoA	60850000	0.029519038076152304	non-HFC
DcoA	60950000	0.02942	non-HFC
DcoA	61050000	0.02801	non-HFC
DcoA	61150000	0.03	non-HFC
DcoA	61250000	0.02649	non-HFC
DcoA	61350000	0.03033	non-HFC
DcoA	61450000	0.03002	non-HFC
DcoA	61550000	0.03549	non-HFC
DcoA	61650000	0.02991	non-HFC
DcoA	61750000	0.03032	non-HFC
DcoA	61850000	0.034198396793587174	non-HFC
DcoA	61950000	0.02819	non-HFC
DcoA	62050000	0.03125	non-HFC
DcoA	62150000	0.03603	non-HFC
DcoA	62250000	0.03098	non-HFC
DcoA	62350000	0.03542	non-HFC
DcoA	62450000	0.03145	non-HFC
DcoA	62550000	0.03571	non-HFC
DcoA	62650000	0.03269	non-HFC
DcoA	62750000	0.03431	non-HFC
DcoA	62850000	0.0352	non-HFC
DcoA	62950000	0.03184	non-HFC
DcoA	63050000	0.03159	non-HFC
DcoA	63150000	0.03283	non-HFC
DcoA	63250000	0.03569	non-HFC
DcoA	63350000	0.03622	non-HFC
DcoA	63450000	0.03309	non-HFC
DcoA	63550000	0.03303	non-HFC
DcoA	63650000	0.034488977955911826	non-HFC
DcoA	63750000	0.03668	non-HFC
DcoA	63850000	0.03413	non-HFC
DcoA	63950000	0.03403	non-HFC
DcoA	64050000	0.03644	non-HFC
DcoA	64150000	0.03592184368737475	non-HFC
DcoA	64250000	0.03334	non-HFC
DcoA	64350000	0.032	non-HFC
DcoA	64450000	0.03263	non-HFC
DcoA	64550000	0.03429	non-HFC
DcoA	64650000	0.03508	non-HFC
DcoA	64750000	0.03276	non-HFC
DcoA	64850000	0.03345	non-HFC
DcoA	64950000	0.03112	non-HFC
DcoA	65050000	0.03284	non-HFC
DcoA	65150000	0.03256	non-HFC
DcoA	65250000	0.03611	non-HFC
DcoA	65350000	0.03276	non-HFC
DcoA	65450000	0.03261	non-HFC
DcoA	65550000	0.03394	non-HFC
DcoA	65650000	0.03225	non-HFC
DcoA	65750000	0.03725	non-HFC
DcoA	65850000	0.03368	non-HFC
DcoA	65950000	0.03283	non-HFC
DcoA	66050000	0.03594	non-HFC
DcoA	66150000	0.0377	non-HFC
DcoA	66250000	0.03502	non-HFC
DcoA	66350000	0.03628256513026052	non-HFC
DcoA	66450000	0.03087	non-HFC
DcoA	66550000	0.03303	non-HFC
DcoA	66650000	0.03159	non-HFC
DcoA	66750000	0.03474	non-HFC
DcoA	66850000	0.0343	non-HFC
DcoA	66950000	0.03245	non-HFC
DcoA	67050000	0.03295	non-HFC
DcoA	67150000	0.03242	non-HFC
DcoA	67250000	0.03248	non-HFC
DcoA	67350000	0.03029	non-HFC
DcoA	67450000	0.03086	non-HFC
DcoA	67550000	0.02972	non-HFC
DcoA	67650000	0.03669	non-HFC
DcoA	67750000	0.03093	non-HFC
DcoA	67850000	0.02916	non-HFC
DcoA	67950000	0.03286	non-HFC
DcoA	68050000	0.03064	non-HFC
DcoA	68150000	0.02982	non-HFC
DcoA	68250000	0.03419	non-HFC
DcoA	68350000	0.03017	non-HFC
DcoA	68450000	0.0284	non-HFC
DcoA	68550000	0.0296	non-HFC
DcoA	68650000	0.03037	non-HFC
DcoA	68750000	0.03112	non-HFC
DcoA	68850000	0.0299	non-HFC
DcoA	68950000	0.03014	non-HFC
DcoA	69050000	0.03759	HFC
DcoA	69150000	0.03379	HFC
DcoA	69250000	0.0378	HFC
DcoA	69350000	0.03981	HFC
DcoA	69450000	0.0293	HFC
DcoA	69550000	0.02879	HFC
DcoA	69650000	0.02636	HFC
DcoA	69750000	0.03199	HFC
DcoA	69850000	0.03184	HFC
DcoA	69950000	0.03331	HFC
DcoA	70050000	0.03345	HFC
DcoA	70150000	0.03302	HFC
DcoA	70250000	0.03755	HFC
DcoA	70350000	0.03602	HFC
DcoA	70450000	0.03391	HFC
DcoA	70550000	0.03215	HFC
DcoA	70650000	0.03177	HFC
DcoA	70750000	0.02969	HFC
