chromosome	coordinate	exon_density	HFC
DcoA	52750000	0.31634	non-HFC
DcoA	52850000	0.24483	non-HFC
DcoA	52950000	0.29714	non-HFC
DcoA	53050000	0.28367	non-HFC
DcoA	53150000	0.27444	non-HFC
DcoA	53250000	0.2292	non-HFC
DcoA	53350000	0.25239	non-HFC
DcoA	53450000	0.23549	non-HFC
DcoA	53550000	0.28612	non-HFC
DcoA	53650000	0.18402	non-HFC
DcoA	53750000	0.29878	non-HFC
DcoA	53850000	0.26717	non-HFC
DcoA	53950000	0.35647	non-HFC
DcoA	54050000	0.26295	non-HFC
DcoA	54150000	0.26001	non-HFC
DcoA	54250000	0.22717	non-HFC
DcoA	54350000	0.22354	non-HFC
DcoA	54450000	0.23256	non-HFC
DcoA	54550000	0.21211	non-HFC
DcoA	54650000	0.3438	non-HFC
DcoA	54750000	0.28186	non-HFC
DcoA	54850000	0.20351	non-HFC
DcoA	54950000	0.25625	non-HFC
DcoA	55050000	0.27807	non-HFC
DcoA	55150000	0.25738	non-HFC
DcoA	55250000	0.25829	non-HFC
DcoA	55350000	0.21507	non-HFC
DcoA	55450000	0.27441	non-HFC
DcoA	55550000	0.16842	non-HFC
DcoA	55650000	0.18949	non-HFC
DcoA	55750000	0.28196	non-HFC
DcoA	55850000	0.27998	non-HFC
DcoA	55950000	0.28343	non-HFC
DcoA	56050000	0.24740480961923847	non-HFC
DcoA	56150000	0.25376	non-HFC
DcoA	56250000	0.24514	non-HFC
DcoA	56350000	0.19746	non-HFC
DcoA	56450000	0.24646	non-HFC
DcoA	56550000	0.23269	HFC
DcoA	56650000	0.21083	HFC
DcoA	56750000	0.22563	HFC
DcoA	56850000	0.23203	HFC
DcoA	56950000	0.19593	HFC
DcoA	57050000	0.17402	HFC
DcoA	57150000	0.24919	HFC
DcoA	57250000	0.24333	HFC
DcoA	57350000	0.2229	HFC
DcoA	57450000	0.30639	HFC
DcoA	57550000	0.23282	HFC
DcoA	57650000	0.29889	HFC
DcoA	57750000	0.27798	HFC
DcoA	57850000	0.30442	HFC
DcoA	57950000	0.23816	HFC
DcoA	58050000	0.28983	HFC
DcoA	58150000	0.24939	HFC
DcoA	58250000	0.24417	HFC
DcoA	58350000	0.29264	HFC
DcoA	58450000	0.34118	HFC
DcoA	58550000	0.21657	HFC
DcoA	58650000	0.24316	HFC
DcoA	58750000	0.3531	HFC
DcoA	58850000	0.35813	HFC
DcoA	58950000	0.30626	HFC
DcoA	59050000	0.35057	HFC
DcoA	59150000	0.30006	HFC
DcoA	59250000	0.23066	HFC
DcoA	59350000	0.36442	HFC
DcoA	59450000	0.30089	HFC
DcoA	59550000	0.19918	non-HFC
DcoA	59650000	0.28785	non-HFC
DcoA	59750000	0.25602	non-HFC
DcoA	59850000	0.31215	non-HFC
DcoA	59950000	0.37038	non-HFC
DcoA	60050000	0.27811	non-HFC
DcoA	60150000	0.21074	non-HFC
DcoA	60250000	0.18884	non-HFC
DcoA	60350000	0.27689	non-HFC
DcoA	60450000	0.23038	non-HFC
DcoA	60550000	0.27696392785571144	non-HFC
DcoA	60650000	0.15122	non-HFC
DcoA	60750000	0.2851	non-HFC
DcoA	60850000	0.19788577154308618	non-HFC
DcoA	60950000	0.2034	non-HFC
DcoA	61050000	0.17536	non-HFC
DcoA	61150000	0.21022	non-HFC
DcoA	61250000	0.15406	non-HFC
DcoA	61350000	0.15803	non-HFC
DcoA	61450000	0.20223	non-HFC
DcoA	61550000	0.32394	non-HFC
DcoA	61650000	0.18951	non-HFC
DcoA	61750000	0.18836	non-HFC
DcoA	61850000	0.3389679358717435	non-HFC
DcoA	61950000	0.22246	non-HFC
DcoA	62050000	0.15842	non-HFC
DcoA	62150000	0.29955	non-HFC
DcoA	62250000	0.23838	non-HFC
DcoA	62350000	0.21197	non-HFC
DcoA	62450000	0.25677	non-HFC
DcoA	62550000	0.26693	non-HFC
DcoA	62650000	0.23153	non-HFC
DcoA	62750000	0.24181	non-HFC
DcoA	62850000	0.27296	non-HFC
DcoA	62950000	0.23506	non-HFC
DcoA	63050000	0.21815	non-HFC
DcoA	63150000	0.18166	non-HFC
DcoA	63250000	0.22476	non-HFC
DcoA	63350000	0.30109	non-HFC
DcoA	63450000	0.27103	non-HFC
DcoA	63550000	0.28909	non-HFC
DcoA	63650000	0.2118436873747495	non-HFC
DcoA	63750000	0.27854	non-HFC
DcoA	63850000	0.26002	non-HFC
DcoA	63950000	0.23676	non-HFC
DcoA	64050000	0.31188	non-HFC
DcoA	64150000	0.23842685370741484	non-HFC
DcoA	64250000	0.23488	non-HFC
DcoA	64350000	0.21477	non-HFC
DcoA	64450000	0.22251	non-HFC
DcoA	64550000	0.23468	non-HFC
DcoA	64650000	0.23685	non-HFC
DcoA	64750000	0.22589	non-HFC
DcoA	64850000	0.22189	non-HFC
DcoA	64950000	0.24736	non-HFC
DcoA	65050000	0.26389	non-HFC
DcoA	65150000	0.2193	non-HFC
DcoA	65250000	0.27415	non-HFC
DcoA	65350000	0.27125	non-HFC
DcoA	65450000	0.23006	non-HFC
DcoA	65550000	0.27087	non-HFC
DcoA	65650000	0.19163	non-HFC
DcoA	65750000	0.28353	non-HFC
DcoA	65850000	0.24761	non-HFC
DcoA	65950000	0.28644	non-HFC
DcoA	66050000	0.27882	non-HFC
DcoA	66150000	0.24375	non-HFC
DcoA	66250000	0.309	non-HFC
DcoA	66350000	0.29658316633266535	non-HFC
DcoA	66450000	0.28724	non-HFC
DcoA	66550000	0.2083	non-HFC
DcoA	66650000	0.247	non-HFC
DcoA	66750000	0.29863	non-HFC
DcoA	66850000	0.22171	non-HFC
DcoA	66950000	0.16023	non-HFC
DcoA	67050000	0.15915	non-HFC
DcoA	67150000	0.19244	non-HFC
DcoA	67250000	0.15087	non-HFC
DcoA	67350000	0.21328	non-HFC
DcoA	67450000	0.16906	non-HFC
DcoA	67550000	0.12734	non-HFC
DcoA	67650000	0.32036	non-HFC
DcoA	67750000	0.17672	non-HFC
DcoA	67850000	0.22116	non-HFC
DcoA	67950000	0.24552	non-HFC
DcoA	68050000	0.2205	non-HFC
DcoA	68150000	0.24102	non-HFC
DcoA	68250000	0.24744	non-HFC
DcoA	68350000	0.16078	non-HFC
DcoA	68450000	0.21925	non-HFC
DcoA	68550000	0.20407	non-HFC
DcoA	68650000	0.25479	non-HFC
DcoA	68750000	0.21555	non-HFC
DcoA	68850000	0.26151	non-HFC
DcoA	68950000	0.18705	non-HFC
DcoA	69050000	0.38835	HFC
DcoA	69150000	0.27566	HFC
DcoA	69250000	0.43707	HFC
DcoA	69350000	0.47742	HFC
DcoA	69450000	0.25071	HFC
DcoA	69550000	0.22426	HFC
DcoA	69650000	0.22307	HFC
DcoA	69750000	0.30222	HFC
DcoA	69850000	0.31515	HFC
DcoA	69950000	0.3654	HFC
DcoA	70050000	0.27545	HFC
DcoA	70150000	0.26895	HFC
DcoA	70250000	0.37335	HFC
DcoA	70350000	0.28353	HFC
DcoA	70450000	0.39291	HFC
DcoA	70550000	0.34047	HFC
